pen,subtype,rssi,snr,ipat,seq,heap,minheap,uptime,reconn,qpeak,udpfail,backlog,dropped,host_mac,pred_attack,pred_raw,calib,calib_thr,deauth_tgt,seq_jump,ap_bssid,channel,win_pkts,win_dens,win_deauth,win_probe,win_beacon,win_auth,gw_mac,gw_flip,label,attack_type,timestamp
45917,,-63,34,0,3684,63564,42840,3234856,0,99,9,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,1,80:02:9C:61:97:4B,11,4,234.2,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T14:42:16.821354
45917,BEACON,-93,4,0,2034,65296,42840,3235801,0,99,9,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,1,80:02:9C:61:97:4B,11,3,104.8,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T14:42:17.766354
45917,,-63,34,23674,1369,65296,42840,3236632,0,99,9,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,1,80:02:9C:61:97:4B,11,5,126.4,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T14:42:18.597354
45917,,-65,32,445,1383,65296,42840,3236952,0,99,9,0,0,14:33:5C:6D:AF:58,0,1,ARMED,72.0,0,0,80:02:9C:61:97:4B,11,8,149.3,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T14:42:18.917354
45917,BEACON,-94,3,0,2052,65296,42840,3237645,0,99,9,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,1,80:02:9C:61:97:4B,11,5,174.3,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T14:42:19.610354
45917,,-63,34,906,1406,65296,42840,3237986,0,99,9,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,0,80:02:9C:61:97:4B,11,34,545.6,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T14:42:19.951354
45917,BEACON,-83,14,113642,2722,65296,42840,3238423,0,99,9,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,1,80:02:9C:61:97:4B,11,6,66.9,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T14:42:20.388354
45917,BEACON,-79,18,0,2730,65296,42840,3239242,0,99,9,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,1,80:02:9C:61:97:4B,11,5,55.7,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T14:42:21.207354
45917,,41,41,0,0,65296,42840,3239642,0,99,9,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,0,80:02:9C:61:97:4B,11,18,265.0,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T14:42:21.607354
45917,,-63,34,1252,1426,65296,42840,3240119,0,99,9,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,1,80:02:9C:61:97:4B,11,10,311.3,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T14:42:22.084354
